model,model_definition,MAE_tr,MSE_tr,RMSE_tr,R2_tr,MAE_tt,MSE_tt,RMSE_tt,R2_tt
linear_reg,"Pipeline(steps=[('iterativeimputer', IterativeImputer()),
                ('standardscaler', StandardScaler()),
                ('selectkbest',
                 SelectKBest(k=20,
                             score_func=<function f_regression at 0x00000207B801D940>)),
                ('linearregression', LinearRegression())])",2.4352700808445658,10.83356220337772,3.2914377106938724,0.8810966002170159,2.4212886816126575,11.085552729009013,3.3294973688244616,0.8761891643896423
linear_reg2,"Pipeline(steps=[('iterativeimputer', IterativeImputer()),
                ('standardscaler', StandardScaler()),
                ('pca', PCA(n_components=19)),
                ('linearregression', LinearRegression())])",2.7194090026780766,12.856261215395348,3.5855628868275824,0.8588965348320963,2.6752494795922654,12.880212033324813,3.588901229251763,0.8561452140756641
ridge_reg,"Pipeline(steps=[('iterativeimputer', IterativeImputer()),
                ('standardscaler', StandardScaler()),
                ('ridge', Ridge(alpha=0.5))])",2.4361589115632234,10.830899453920331,3.291033189428562,0.8811258251346662,2.4195067949142457,11.080545923950805,3.3287453978865376,0.8762450837229537
Elastic_net,"ElasticNet(alpha=0.0, l1_ratio=0.0)",2.434864653945281,10.828913230855823,3.2907314127494245,0.8811476248595087,2.420697486774153,11.090841927784066,3.33029156798381,0.8761300910952332
decision_tree,"DecisionTreeRegressor(max_depth=4, max_features=0.2, min_samples_leaf=0.1,
                      random_state=1)",3.8674476846519696,27.097628249072212,5.205538228566976,0.7025908870615473,3.863532769202153,27.570816497385476,5.250791987632482,0.6920707598035769
random_forest_reg1,"RandomForestRegressor(max_depth=4, max_features=0.4, n_estimators=200,
                      n_jobs=-1, random_state=1)",1.965666683326224,7.371327708600074,2.715018914961749,0.9190962391674096,2.070011841869801,8.310518575927087,2.8827970056747123,0.9071825939225934
random_forest_reg2,"RandomForestRegressor(max_depth=10, max_features=0.4, n_estimators=200,
                      n_jobs=-1, random_state=1)",0.7672918255836193,1.245040253041639,1.1158137178945413,0.9863351023260695,1.3513908643709982,4.041962190934748,2.010463178209128,0.9548566743942736
random_forest_reg3,"RandomForestRegressor(max_depth=7, max_features=0.3, n_jobs=-1, random_state=1)",1.3030944899636046,3.2951183990677513,1.8152460987611987,0.9638345381711602,1.6128655897944835,5.335102519302677,2.3097840849964046,0.9404140220042201
random_forest_reg4,"RandomForestRegressor(max_depth=8, max_features=0.6, n_estimators=200,
                      random_state=1)",0.9958582609625709,2.0306452330847553,1.4250070993103001,0.9777127211314107,1.44455176792099,4.469658176682477,2.1141566112004275,0.9500798807893817
gradien_boost_1,"GradientBoostingRegressor(n_estimators=150, random_state=1)",1.1459256178294823,2.581168057259521,1.6066013996195574,0.9716704762793804,1.5439771100187263,4.979547887326709,2.2314900598762946,0.9443850929256439
gradien_boost_2,"GradientBoostingRegressor(learning_rate=0.08249999999999999, max_depth=10,
                          max_features=0.6000000000000001, min_samples_leaf=8,
                          min_samples_split=10, n_estimators=118)",0.19519841304237867,0.11249779763613918,0.3354069135186977,0.9987652841829934,1.172784114418015,3.4208974426571443,1.8495668256803117,0.9617931391184155
gradien_boost_3,"GradientBoostingRegressor(learning_rate=0.08249999999999999, max_depth=10,
                          max_features=0.6000000000000001, min_samples_leaf=8,
                          min_samples_split=6, n_estimators=150,
                          random_state=1)",0.14416879991134438,0.05967600363504632,0.24428672423004555,0.9993450280171506,1.1706820830302334,3.462588091881295,1.8608030771366686,0.9613275101828305
XGBRegressor,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=1, enable_categorical=False,
             gamma=0, gpu_id=-1, importance_type=None,
             interaction_constraints='', learning_rate=0.04, max_delta_step=0,
             max_depth=5, min_child_weight=1, missing=nan,
             monotone_constraints='()', n_estimators=200, n_jobs=-1,
             num_parallel_tree=1, predictor='auto', random_state=0, reg_alpha=0,
             reg_lambda=1, scale_pos_weight=1, subsample=1, tree_method='exact',
             validate_parameters=1, verbosity=None)",0.8634313863565307,1.4860088169722818,1.2190196130383963,0.9836903599085437,1.375659246520649,4.097322079660356,2.0241842998255755,0.9542383782885252
voting,"VotingRegressor(estimators=[('gb', GradientBoostingRegressor(random_state=47)),
                            ('rf', RandomForestRegressor(random_state=47)),
                            ('lr', LinearRegression())])",1.2560820940333515,3.127921499560402,1.7685930847881324,0.9656696021520915,1.5808207595023152,5.260257234317124,2.2935250672964367,0.9412499439922422
